"texto","area"
"Protocolo diario: Desinfección de pomos, interruptores y pasamanos con solución clorada al 0.1% cada 4 horas.","LIMPIEZA"
"Limpieza profunda de alfombras con extractores de vapor cada 15 días, enfocándose en áreas de recepción.","LIMPIEZA"
"Plan de descacharrización: Eliminación de agua estancada en patios cada semana para prevenir dengue.","LIMPIEZA"
"Sanitización de equipos de oficina (teclados, teléfonos) con alcohol isopropílico 70% al finalizar turnos.","LIMPIEZA"
"Uso de máquina autoescrubadora para pisos de concreto en almacenes, con detergente pH neutro.","LIMPIEZA"
"Control de olores en baños: Aplicación de desodorante enzimático tras cada limpieza programada.","LIMPIEZA"
"Lavado de cortinas blackout trimestral con método de inmersión en solución bactericida.","LIMPIEZA"
"Gestión de residuos peligrosos: Guantes y mascarillas usadas se depositarán en contenedores rojos con tapa.","LIMPIEZA"
"Inspección mensual de ductos de aire acondicionado para remoción de polvo con cepillos HEPA.","LIMPIEZA"
"Capacitación en manejo de derrames: Protocolo para absorción de químicos con kits de emergencia.","LIMPIEZA"
"Rotación de traperos microfibra: Azul para vidrios, verde para pisos y rojo para sanitarios.","LIMPIEZA"
"Limpieza post-obra: Retiro de partículas de yeso con aspiradora industrial y barredora húmeda.","LIMPIEZA"
"Desinfección de zonas de comedor: Mesones y microondas se limpiarán con vapor a 120°C post-turnos.","LIMPIEZA"
"Programa de limpieza de ventanas exteriores con pértigas telescópicas y agua desmineralizada.","LIMPIEZA"
"Control de plagas: Colocación estratégica de trampas para cucarachas en puntos críticos semanalmente.","LIMPIEZA"
"Limpieza de equipos electrónicos: Prohibido uso de líquidos en pantallas táctiles, solo paños antiestáticos.","LIMPIEZA"
"Protocolo COVID-19: Nebulización con amonio cuaternario en áreas comunes cada 48 horas.","LIMPIEZA"
"Mantenimiento de fregaderos: Desobstrucción semanal de sifones y aplicación de desincrustante.","LIMPIEZA"
"Limpieza de cisternas: Vaciamiento y cepillado con hipoclorito al 5% cada 6 meses (norma OS-050).","LIMPIEZA"
"Gestión de residuos orgánicos: Compostaje de restos de café y cáscaras en contenedores designados.","LIMPIEZA"
"Limpieza de mamparas de vidrio con solución vinagre-agua (proporción 1:3) para evitar rayaduras.","LIMPIEZA"
"Sanitización de vehículos corporativos: Aspirado y desinfección de volantes y cambios post-uso.","LIMPIEZA"
"Remoción de grafitis: Uso de removedor ecológico a base de cítricos en superficies pintadas.","LIMPIEZA"
"Limpieza de equipos de gimnasio: Aplicación de desinfectante tras cada uso en mancuernas y bancas.","LIMPIEZA"
"Protocolo para derrames de sangre: Uso de kit OSHA con guantes N95 y solución hipoclorada al 10%.","LIMPIEZA"


